"year","sex","Ttotal"
1992,"F",0.000506744741451423
1993,"F",0.00061930069615428
1994,"F",0.000783823335495143
1995,"F",0.000699498826653082
1996,"F",0.00053267738058529
1997,"F",0.00050380846513949
1998,"F",0.000528305793610663
1999,"F",0.000495622953350227
2000,"F",0.000439161608469385
2001,"F",0.000465347855184911
2002,"F",0.000424384180374477
2003,"F",0.00040262380178381
2004,"F",0.000448920847361721
2005,"F",0.000439184425083429
2006,"F",0.000495462708165057
2007,"F",0.000489896208730967
2008,"F",0.000416385838048035
2009,"F",0.000379460215128301
2010,"F",0.000374390424776654
2011,"F",0.000351390579486008
2012,"F",0.000316712716644838
2013,"F",0.000341724271594009
2014,"F",0.000333044089554941
2015,"F",0.000309994218005937
2016,"F",0.000307184304510397
1992,"M",0.00172532601080934
1993,"M",0.00225086559101818
1994,"M",0.00287338068818426
1995,"M",0.00253470377476972
1996,"M",0.00179268101762512
1997,"M",0.00173010579685896
1998,"M",0.001797973598812
1999,"M",0.00164058944136144
2000,"M",0.0015485745572646
2001,"M",0.00171899094852714
2002,"M",0.00167262098508311
2003,"M",0.00152470403895456
2004,"M",0.00164550683412415
2005,"M",0.00177350612068404
2006,"M",0.00189800832925364
2007,"M",0.0019658728209422
2008,"M",0.00168165206368341
2009,"M",0.00144278410131604
2010,"M",0.00134401804309364
2011,"M",0.00128400000828062
2012,"M",0.00123733866483369
2013,"M",0.00121253351728379
2014,"M",0.00122863870471921
2015,"M",0.00112876259520013
2016,"M",0.00114224608772528
